('sys.path:\n', ['/home/chaoyan/Documents/DL/beta_vae_mol/bo', '/home/chaoyan/anaconda3/envs/torch41/lib/python27.zip', '/home/chaoyan/anaconda3/envs/torch41/lib/python2.7', '/home/chaoyan/anaconda3/envs/torch41/lib/python2.7/plat-linux2', '/home/chaoyan/anaconda3/envs/torch41/lib/python2.7/lib-tk', '/home/chaoyan/anaconda3/envs/torch41/lib/python2.7/lib-old', '/home/chaoyan/anaconda3/envs/torch41/lib/python2.7/lib-dynload', '/home/chaoyan/anaconda3/envs/torch41/lib/python2.7/site-packages', '/home/chaoyan/anaconda3/envs/torch41/lib/python2.7/site-packages/Theano-0.8.0-py2.7.egg', '/home/chaoyan/Documents/DL/beta_vae_mol'])
Namespace(batch_size=128, dropout=0.5, embedding_size=48, enc_bidir=True, generate_samples=False, grad_clip=5.0, latent_size=56, layer_size=512, logdir='/mnt/Data/DL/tmp/beta_vae_mol', max_len=75, n_layers=2, num_epochs=151, random_seed=6, restore='/mnt/Data/DL/tmp/beta_vae_mol/baseline/checkpoints/150', save_dir='guided_results6', tag='', test_mode=False, wd=0.0001, weighted_loss=False)
('X_train', <type 'numpy.ndarray'>, (224510, 56))
('y_train', <type 'numpy.ndarray'>, (224510, 1))
(249456, 249456, 249456)
('load vocab from:', '../data/vacab')
('vocab_size:', 65)
('padding_idx sos_idx eos_idx unk_idx:', 1, 2, 1, 0)
('X_train shape:', (224510, 56))
('y_train shape:', (224510, 1))
Initializing network
Compiling adam updates
Training
Epoch: 0, Mini-batch: 0 of 45 - Energy: 13766.222094 Time: 0.330467939377
Epoch: 0, Mini-batch: 1 of 45 - Energy: 13714.3815832 Time: 0.319446086884
Epoch: 0, Mini-batch: 2 of 45 - Energy: 14430.1443703 Time: 0.318891048431
Epoch: 0, Mini-batch: 3 of 45 - Energy: 12745.369585 Time: 0.319077968597
Epoch: 0, Mini-batch: 4 of 45 - Energy: 13308.4439147 Time: 0.318922996521
Epoch: 0, Mini-batch: 5 of 45 - Energy: 12615.4015211 Time: 0.285253047943
Epoch: 0, Mini-batch: 6 of 45 - Energy: 11982.3826394 Time: 0.214330911636
Epoch: 0, Mini-batch: 7 of 45 - Energy: 13763.2774146 Time: 0.216773986816
Epoch: 0, Mini-batch: 8 of 45 - Energy: 13627.265502 Time: 0.214971065521
Epoch: 0, Mini-batch: 9 of 45 - Energy: 13831.0089851 Time: 0.215276956558
Epoch: 0, Mini-batch: 10 of 45 - Energy: 12420.2124499 Time: 0.216856002808
Epoch: 0, Mini-batch: 11 of 45 - Energy: 13478.1681207 Time: 0.212811946869
Epoch: 0, Mini-batch: 12 of 45 - Energy: 12657.3114883 Time: 0.2142598629
Epoch: 0, Mini-batch: 13 of 45 - Energy: 12047.5620674 Time: 0.213418006897
Epoch: 0, Mini-batch: 14 of 45 - Energy: 12145.8477936 Time: 0.291377067566
Epoch: 0, Mini-batch: 15 of 45 - Energy: 12598.5841996 Time: 0.319370985031
Epoch: 0, Mini-batch: 16 of 45 - Energy: 11874.7840081 Time: 0.321770906448
Epoch: 0, Mini-batch: 17 of 45 - Energy: 11662.9070665 Time: 0.33568406105
Epoch: 0, Mini-batch: 18 of 45 - Energy: 11743.3417298 Time: 0.239680051804
Epoch: 0, Mini-batch: 19 of 45 - Energy: 11962.0454106 Time: 0.215870857239
