('sys.path:\n', ['/home/chaoyan/Documents/DL/beta_vae_mol/bo', '/home/chaoyan/anaconda3/envs/torch41/lib/python27.zip', '/home/chaoyan/anaconda3/envs/torch41/lib/python2.7', '/home/chaoyan/anaconda3/envs/torch41/lib/python2.7/plat-linux2', '/home/chaoyan/anaconda3/envs/torch41/lib/python2.7/lib-tk', '/home/chaoyan/anaconda3/envs/torch41/lib/python2.7/lib-old', '/home/chaoyan/anaconda3/envs/torch41/lib/python2.7/lib-dynload', '/home/chaoyan/anaconda3/envs/torch41/lib/python2.7/site-packages', '/home/chaoyan/anaconda3/envs/torch41/lib/python2.7/site-packages/Theano-0.8.0-py2.7.egg', '/home/chaoyan/Documents/DL/beta_vae_mol'])
Namespace(batch_size=128, dropout=0.5, embedding_size=48, enc_bidir=True, generate_samples=False, grad_clip=5.0, latent_size=56, layer_size=512, logdir='/mnt/Data/DL/tmp/beta_vae_mol', max_len=75, n_layers=2, num_epochs=151, random_seed=6, restore='/mnt/Data/DL/tmp/beta_vae_mol/baseline/checkpoints/150', save_dir='results6', tag='', test_mode=False, wd=0.0001, weighted_loss=False)
('X_train', <type 'numpy.ndarray'>, (224510, 56))
('y_train', <type 'numpy.ndarray'>, (224510, 1))
(249456, 249456, 249456)
('load vocab from:', '../data/vacab')
('vocab_size:', 65)
('padding_idx sos_idx eos_idx unk_idx:', 1, 2, 1, 0)
('X_train shape:', (224510, 56))
('y_train shape:', (224510, 1))
Initializing network
Compiling adam updates
Training
Epoch: 0, Mini-batch: 0 of 45 - Energy: 13766.222094 Time: 0.417238950729
Epoch: 0, Mini-batch: 1 of 45 - Energy: 13714.3815832 Time: 0.347368001938
Epoch: 0, Mini-batch: 2 of 45 - Energy: 14430.1443703 Time: 0.356976032257
Epoch: 0, Mini-batch: 3 of 45 - Energy: 12745.369585 Time: 0.344866991043
Epoch: 0, Mini-batch: 4 of 45 - Energy: 13308.4439147 Time: 0.360260009766
Epoch: 0, Mini-batch: 5 of 45 - Energy: 12615.4015211 Time: 0.348038911819
Epoch: 0, Mini-batch: 6 of 45 - Energy: 11982.3826394 Time: 0.35541009903
Epoch: 0, Mini-batch: 7 of 45 - Energy: 13763.2774146 Time: 0.350878953934
Epoch: 0, Mini-batch: 8 of 45 - Energy: 13627.265502 Time: 0.359411001205
Epoch: 0, Mini-batch: 9 of 45 - Energy: 13831.0089851 Time: 0.342909812927
Epoch: 0, Mini-batch: 10 of 45 - Energy: 12420.2124499 Time: 0.35789680481
Epoch: 0, Mini-batch: 11 of 45 - Energy: 13478.1681207 Time: 0.361896038055
Epoch: 0, Mini-batch: 12 of 45 - Energy: 12657.3114883 Time: 0.352923154831
Epoch: 0, Mini-batch: 13 of 45 - Energy: 12047.5620674 Time: 0.342686891556
Epoch: 0, Mini-batch: 14 of 45 - Energy: 12145.8477936 Time: 0.355834007263
Epoch: 0, Mini-batch: 15 of 45 - Energy: 12598.5841996 Time: 0.338726043701
Epoch: 0, Mini-batch: 16 of 45 - Energy: 11874.7840081 Time: 0.425940036774
Epoch: 0, Mini-batch: 17 of 45 - Energy: 11662.9070665 Time: 0.326598167419
Epoch: 0, Mini-batch: 18 of 45 - Energy: 11743.3417298 Time: 0.328555107117
Epoch: 0, Mini-batch: 19 of 45 - Energy: 11962.0454106 Time: 0.329540014267
Epoch: 0, Mini-batch: 20 of 45 - Energy: 11654.0696734 Time: 0.32767701149
